0.0833808 0.245418 -0.39694 3 4 0
0.0833215 0.24834 -0.398737 4 4 0
0.0832847 0.24838 -0.396138 4 4 0
0.0832653 0.255081 -0.399634 3 4 0
0.0832634 0.241423 -0.400215 4 4 0
0.0832604 0.249694 -0.397308 4 4 0
0.083259 0.249434 -0.395237 3 4 0
0.0832584 0.241656 -0.396415 3 4 0
0.0832575 0.247543 -0.396137 4 4 0
0.0832572 0.242596 -0.396569 4 4 0
0.0832569 0.236068 -0.424048 3 4 0
0.0832569 0.255212 -0.438552 3 4 0
